kind,label,morph,gamma_min,gamma_max,tau_h,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
morph,morph=2.5h,2.5,,,,open,43,12.72915604,0.2695047866,2.125759322,32.57444732,0,0,0.01400399427,0.8752496419,1.0
morph,morph=2.5h,2.5,,,,closed,44,12.73567953,0.2693738078,2.125479666,32.5911072,0,8.750166012e-05,0.01380264895,0.8631147617,1.0
morph,morph=2.5h,2.5,,,,open,44,12.72915593,0.2695047895,2.125759322,32.5744473,0,0,0.01400399468,0.8752496675,1.0
morph,morph=2.5h,2.5,,,,closed,45,12.73567604,0.2693738685,2.125480192,32.59107469,0,8.748064419e-05,0.01380272432,0.863119404,1.0
morph,morph=2.5h,2.5,,,,open,45,12.72915657,0.2695047764,2.125759276,32.57445011,0,0,0.01400399273,0.8752495457,1.0
morph,morph=2.5h,2.5,,,,closed,46,12.73567654,0.2693738608,2.125480104,32.59108011,0,8.748236835e-05,0.01380271575,0.8631188681,1.0
morph,morph=2.5h,2.5,,,,open,46,12.72915654,0.2695047771,2.125759261,32.57445106,0,0,0.01400399295,0.8752495594,1.0
morph,morph=3h,3.0,,,,closed,42,13.25496406,0.2695047819,2.115458377,33.21825633,0,0,0,0,1.0
morph,morph=3h,3.0,,,,open,42,13.25496406,0.2695047819,2.115458377,33.21825633,0,0,0,0,1.0
morph,morph=3h,3.0,,,,closed,43,13.25496382,0.2695047866,2.115458414,33.21825403,0,0,0,0,1.0
morph,morph=3h,3.0,,,,open,43,13.25496382,0.2695047866,2.115458414,33.21825403,0,0,0,0,1.0
morph,morph=3h,3.0,,,,closed,44,13.2549637,0.2695047895,2.115458415,33.21825399,0,0,0,0,1.0
morph,morph=3h,3.0,,,,open,44,13.2549637,0.2695047895,2.115458415,33.21825399,0,0,0,0,1.0
morph,morph=3h,3.0,,,,closed,45,13.25496429,0.2695047764,2.115458374,33.2182565,0,0,0,0,1.0
morph,morph=3h,3.0,,,,open,45,13.25496429,0.2695047764,2.115458374,33.2182565,0,0,0,0,1.0
morph,morph=3h,3.0,,,,closed,46,13.25496426,0.2695047771,2.115458361,33.21825727,0,0,0,0,1.0
morph,morph=3h,3.0,,,,open,46,13.25496426,0.2695047771,2.115458361,33.21825727,0,0,0,0,1.0
morph,morph=3.5h,3.5,,,,closed,42,13.70951839,0.2696118729,2.10520308,33.85988173,0,6.979982697e-05,0.01176566944,0.735728689,1.0
morph,morph=3.5h,3.5,,,,open,42,13.71408852,0.2695047819,2.104981367,33.87306944,0,0,0.01190388768,0.7439929798,1.0
morph,morph=3.5h,3.5,,,,closed,43,13.70952153,0.2696118101,2.105202941,33.85989002,0,6.97613424e-05,0.01176576129,0.7357342603,1.0
morph,morph=3.5h,3.5,,,,open,43,13.7140883,0.2695047866,2.1049814,33.87306743,0,0,0.01190388829,0.7439930182,1.0
morph,morph=3.5h,3.5,,,,closed,44,13.70952004,0.2696118392,2.105203007,33.85988603,0,6.977597768e-05,0.01176572494,0.7357320462,1.0
morph,morph=3.5h,3.5,,,,open,44,13.7140882,0.2695047895,2.104981401,33.87306737,0,0,0.01190388862,0.7439930389,1.0
morph,morph=3.5h,3.5,,,,closed,45,13.70952141,0.2696118139,2.105202944,33.85988985,0,6.97698006e-05,0.01176574362,0.7357332036,1.0
morph,morph=3.5h,3.5,,,,open,45,13.71408874,0.2695047764,2.104981363,33.87306964,0,0,0.01190388697,0.7439929355,1.0
morph,morph=3.5h,3.5,,,,closed,46,13.70951933,0.2696118564,2.105203007,33.85988613,0,6.979705854e-05,0.01176568512,0.7357296739,1.0
morph,morph=3.5h,3.5,,,,open,46,13.7140887,0.2695047771,2.104981353,33.87307028,0,0,0.01190388713,0.7439929455,1.0
morph,morph=4h,4.0,,,,closed,42,14.10766949,0.2697005025,2.095312042,34.47862551,0,0.0001265519977,0.02187027623,1.367580111,1.0
morph,morph=4h,4.0,,,,open,42,14.11543214,0.2695047819,2.094923729,34.50167181,0,0,0.02210371028,1.381481892,1.0
morph,morph=4h,4.0,,,,closed,43,14.10766881,0.2697005207,2.095312119,34.47862083,0,0.0001265586222,0.02187026418,1.367579396,1.0
morph,morph=4h,4.0,,,,open,43,14.11543194,0.2695047866,2.094923758,34.50167004,0,0,0.02210371143,1.381481965,1.0
morph,morph=4h,4.0,,,,closed,44,14.10766864,0.2697005226,2.095312078,34.47862341,0,0.0001265616611,0.02187026,1.367579147,1.0
morph,morph=4h,4.0,,,,open,44,14.11543184,0.2695047895,2.09492376,34.50166996,0,0,0.02210371204,1.381482002,1.0
morph,morph=4h,4.0,,,,closed,45,14.10766904,0.2697005143,2.095312109,34.47862138,0,0.0001265593247,0.02187025847,1.367579039,1.0
morph,morph=4h,4.0,,,,open,45,14.11543234,0.2695047764,2.094923725,34.50167203,0,0,0.02210370898,1.381481811,1.0
morph,morph=4h,4.0,,,,closed,46,14.10766932,0.2697005074,2.095312052,34.4786249,0,0.0001265581102,0.02187026472,1.367579427,1.0
morph,morph=4h,4.0,,,,open,46,14.1154323,0.2695047771,2.094923716,34.50167258,0,0,0.02210370926,1.381481829,1.0
morph,morph=6h,6.0,,,,closed,42,15.28675274,0.2699396068,2.06238473,36.53807692,0,0.0002758675493,0.05087917446,3.181492909,1.0
morph,morph=6h,6.0,,,,open,42,15.30006671,0.2695047819,2.06167662,36.57961611,0,0,0.05127616277,3.204760173,1.0
morph,morph=6h,6.0,,,,closed,43,15.28675541,0.2699395317,2.062384596,36.53808481,0,0.0002758232496,0.05087925338,3.181497634,1.0
morph,morph=6h,6.0,,,,open,43,15.30006656,0.2695047866,2.06167664,36.5796149,0,0,0.05127616548,3.204760343,1.0
morph,morph=6h,6.0,,,,closed,44,15.28675243,0.2699396154,2.062384747,36.53807588,0,0.000275868681,0.05087917586,3.181492999,1.0
morph,morph=6h,6.0,,,,open,44,15.30006648,0.2695047895,2.061676642,36.5796148,0,0,0.05127616684,3.204760428,1.0
morph,morph=6h,6.0,,,,closed,45,15.28675541,0.2699395312,2.062384607,36.53808414,0,0.0002758262548,0.05087924083,3.181496861,1.0
morph,morph=6h,6.0,,,,open,45,15.30006687,0.2695047764,2.061676616,36.57961634,0,0,0.05127615983,3.204759989,1.0
morph,morph=6h,6.0,,,,closed,46,15.28675536,0.2699395339,2.062384598,36.5380847,0,0.0002758287727,0.0508792395,3.181496798,1.0
morph,morph=6h,6.0,,,,open,46,15.30006683,0.2695047771,2.061676611,36.57961667,0,0,0.05127616042,3.204760026,1.0
morph,morph=8h,8.0,,,,closed,42,16.04862315,0.2700782086,2.039094396,37.99458908,0,0.0003603490935,0.06899339335,4.31413281,1.0
morph,morph=8h,8.0,,,,open,42,16.06279354,0.2695047819,2.038315672,38.03967541,0,0,0.06941819867,4.338637417,1.0
morph,morph=8h,8.0,,,,closed,43,16.04862315,0.2700782077,2.039094395,37.99458909,0,0.0003603472813,0.06899340011,4.314133222,1.0
morph,morph=8h,8.0,,,,open,43,16.06279342,0.2695047866,2.038315687,38.03967449,0,0,0.06941820233,4.338637646,1.0
morph,morph=8h,8.0,,,,closed,44,16.04862317,0.2700782068,2.039094394,37.99458919,0,0.0003603444895,0.0689934048,4.314133499,1.0
morph,morph=8h,8.0,,,,open,44,16.06279335,0.2695047895,2.038315689,38.0396744,0,0,0.06941820415,4.338637759,1.0
morph,morph=8h,8.0,,,,closed,45,16.04862313,0.270078206,2.039094398,37.9945889,0,0.0003603502132,0.06899338694,4.314132409,1.0
morph,morph=8h,8.0,,,,open,45,16.06279367,0.2695047764,2.038315668,38.03967562,0,0,0.06941819475,4.338637172,1.0
morph,morph=8h,8.0,,,,closed,46,16.04862313,0.2700782073,2.039094397,37.99458898,0,0.0003603502172,0.06899338795,4.314132475,1.0
morph,morph=8h,8.0,,,,open,46,16.06279364,0.2695047771,2.038315664,38.03967585,0,0,0.06941819551,4.338637219,1.0
joint,lhs000,2.9683746314489996,0.002711972206108383,0.0107379041346215,0.5096316507805435,closed,42,13.18541359,0.2684698224,2.118710993,33.00849932,0,0.0009163845742,0.001951291995,0.1270019012,1.0
joint,lhs000,2.9683746314489996,0.002711972206108383,0.0107379041346215,0.5096316507805435,open,42,13.21481533,0.2678395374,2.116388944,33.14968809,0,0.00119176114,0.0009550352888,0.06670276513,1.0
joint,lhs000,2.9683746314489996,0.002711972206108383,0.0107379041346215,0.5096316507805435,closed,43,13.18540291,0.2684700245,2.118711483,33.00846998,0,0.000916300724,0.001951666426,0.1270245057,1.0
joint,lhs000,2.9683746314489996,0.002711972206108383,0.0107379041346215,0.5096316507805435,open,43,13.21481509,0.2678395423,2.116388982,33.14968577,0,0.001191761099,0.0009550353476,0.06670276885,1.0
joint,lhs000,2.9683746314489996,0.002711972206108383,0.0107379041346215,0.5096316507805435,closed,44,13.18540306,0.2684700211,2.11871148,33.00847016,0,0.0009163049597,0.001951657691,0.1270239887,1.0
joint,lhs000,2.9683746314489996,0.002711972206108383,0.0107379041346215,0.5096316507805435,open,44,13.21481497,0.2678395453,2.116388983,33.14968572,0,0.001191761068,0.000955035372,0.06670277011,1.0
joint,lhs000,2.9683746314489996,0.002711972206108383,0.0107379041346215,0.5096316507805435,closed,45,13.18540303,0.2684700217,2.118711482,33.00847004,0,0.000916298353,0.001951679764,0.1270253144,1.0
