n_prediction,n_control,seed,hour,tau_Pa,phi_sen,rho_bar,varphi_bar_deg
3,2,57,2,1.967177819,0.2027551262,1.990072339,37.14785704
3,2,57,3,2,0.2043176365,2.01951405,33.8532428
3,2,57,4,2,0.2058733948,2.045128856,30.98907934
3,2,57,5,2,0.2074225922,2.067407472,28.50016361
3,2,57,6,1.995111115,0.2089399495,2.086760909,26.33997213
3,2,58,0,,0.2011173184,1.920111732,45
3,2,58,1,1.6420654,0.2013767845,1.956403639,40.92007946
3,2,58,2,1.966236576,0.2028028104,1.990065593,37.14915235
3,2,58,3,2,0.2043974331,2.019505694,33.85508053
3,2,58,4,2,0.2059847596,2.045116949,30.99167178
3,2,58,5,2,0.2075649932,2.067390497,28.50367529
3,2,58,6,1.993475321,0.2091041238,2.086732074,26.34506303
3,2,59,0,,0.2011173184,1.920111732,45
3,2,59,1,1.642260369,0.2013678224,1.956404753,40.91985327
3,2,59,2,1.966636175,0.2027826196,1.990068455,37.14860323
3,2,59,3,2,0.2043636021,2.019509238,33.85430123
3,2,59,4,2,0.2059374942,2.045122002,30.99057164
3,2,59,5,2,0.2075044943,2.067397705,28.50218372
3,2,59,6,1.994174353,0.2090343377,2.086744345,26.34289752
3,2,60,0,,0.2011173184,1.920111732,45
3,2,60,1,1.642455229,0.2013588651,1.956405866,40.91962728
3,2,60,2,1.967033952,0.2027624486,1.990071307,37.14805547
3,2,60,3,2,0.2043298607,2.019512771,33.85352418
3,2,60,4,2,0.2058904197,2.045127035,30.98947573
3,2,60,5,2,0.2074443188,2.06740488,28.50069963
3,2,60,6,1.994864637,0.2089649707,2.086756525,26.34074688
3,2,61,0,,0.2011173184,1.920111732,45
3,2,61,1,1.642455072,0.2013588666,1.956405865,40.91962743
3,2,61,2,1.967033155,0.2027624551,1.990071303,37.14805605
3,2,61,3,2,0.2043298843,2.019512767,33.85352496
3,2,61,4,2,0.2058904682,2.045127029,30.98947698
3,2,61,5,2,0.2074443999,2.06740487,28.50070165
