kind,label,morph,gamma_min,alpha_gamma,tau_opt,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
oat,gamma_min:low,,0.002224,,,open,51,13.36119185,0.2057311362,2.086829257,26.29618387,0,0.001870210252,0.0001599410109,0.03809565631,1.0
oat,gamma_min:high,,0.003336,,,closed,42,13.47356121,0.211252476,2.086251337,26.42331492,0,0.001838121239,0.000165157199,0.03833392656,1.0
oat,gamma_min:high,,0.003336,,,open,42,13.47347725,0.2112722229,2.086264396,26.422068,0,0.001848238275,0.000158079601,0.03764805948,1.0
oat,gamma_min:high,,0.003336,,,closed,43,13.46938875,0.2111063558,2.086304329,26.4157095,0,0.001823408872,0.0001638925602,0.03803367717,1.0
oat,gamma_min:high,,0.003336,,,open,43,13.46930561,0.2111259066,2.086317261,26.41447457,0,0.001833418581,0.0001568856562,0.03735470293,1.0
oat,gamma_min:high,,0.003336,,,closed,44,13.47211627,0.2112018828,2.086269697,26.42068023,0,0.001833019921,0.000164717444,0.03822968904,1.0
oat,gamma_min:high,,0.003336,,,open,44,13.47203261,0.2112215586,2.086282709,26.41943772,0,0.001843098779,0.0001576655208,0.03754631659,1.0
oat,gamma_min:high,,0.003336,,,closed,45,13.4681002,0.2110612558,2.086320761,26.41335353,0,0.001818871014,0.000163493513,0.03794004237,1.0
oat,gamma_min:high,,0.003336,,,open,45,13.46801739,0.2110807255,2.086333641,26.41212353,0,0.001828836381,0.0001565160374,0.03726393597,1.0
oat,gamma_min:high,,0.003336,,,closed,46,13.47901278,0.2114434116,2.086182194,26.4332416,0,0.001857395908,0.0001668183477,0.03872773298,1.0
oat,gamma_min:high,,0.003336,,,open,46,13.47892769,0.2114634291,2.086195429,26.43197781,0,0.001867657558,0.0001596433623,0.03803239695,1.0
oat,gamma_min:high,,0.003336,,,closed,47,13.46778279,0.2110501145,2.086324745,26.41277995,0,0.00181776722,0.0001633987735,0.03791752015,1.0
oat,gamma_min:high,,0.003336,,,open,47,13.46770004,0.2110695693,2.086337617,26.41155077,0,0.001827723464,0.0001564266353,0.03724194751,1.0
oat,gamma_min:high,,0.003336,,,closed,48,13.47484391,0.2112974025,2.086235066,26.42565086,0,0.001842649366,0.0001655469777,0.03842639597,1.0
oat,gamma_min:high,,0.003336,,,open,48,13.47475969,0.2113172115,2.086248165,26.42440011,0,0.001852800089,0.0001584469838,0.03773834575,1.0
oat,gamma_min:high,,0.003336,,,closed,49,13.4780423,0.2114094724,2.086194609,26.43146305,0,0.001853943509,0.0001665118616,0.03865612633,1.0
oat,gamma_min:high,,0.003336,,,open,49,13.4779575,0.2114294212,2.0862078,26.43020344,0,0.001864167475,0.0001593616599,0.03796321922,1.0
oat,gamma_min:high,,0.003336,,,closed,50,13.48060892,0.2114993547,2.086162049,26.43613726,0,0.001863035879,0.0001673004659,0.03884248297,1.0
oat,gamma_min:high,,0.003336,,,open,50,13.48052353,0.211519443,2.086175331,26.43486902,0,0.001873335044,0.0001600998757,0.03814467086,1.0
oat,gamma_min:high,,0.003336,,,closed,51,13.47820592,0.2114151802,2.086192491,26.43176554,0,0.001854525121,0.0001665679146,0.03866870915,1.0
oat,gamma_min:high,,0.003336,,,open,51,13.47812103,0.2114351507,2.086205696,26.43050468,0,0.001864761562,0.0001594097674,0.03797501802,1.0
oat,alpha_gamma:low,,,0.0039759999999999995,,closed,42,13.38789754,0.2070228604,2.086736295,26.32117399,0,0.0009088113167,8.325504211e-05,0.01926768659,1.0
oat,alpha_gamma:low,,,0.0039759999999999995,,open,42,13.38796111,0.2070156405,2.086729945,26.32180717,0,0.0009123608306,7.995054949e-05,0.01893940016,1.0
oat,alpha_gamma:low,,,0.0039759999999999995,,closed,43,13.38426495,0.2069004942,2.0867867,26.31412684,0,0.0009075522953,8.317730854e-05,0.01924579047,1.0
oat,alpha_gamma:low,,,0.0039759999999999995,,open,43,13.3843281,0.2068933165,2.086780384,26.31475662,0,0.0009110775895,7.989294706e-05,0.01891954826,1.0
oat,alpha_gamma:low,,,0.0039759999999999995,,closed,44,13.38663968,0.2069805003,2.086753755,26.31873314,0,0.0009083786255,8.322859466e-05,0.01926020235,1.0
oat,alpha_gamma:low,,,0.0039759999999999995,,open,44,13.38670311,0.2069732948,2.086747418,26.31936509,0,0.0009119203519,7.993092463e-05,0.01893260353,1.0
